,Title,Price,NumberReview,Review,url
26,"Sadaf Special Blend Tea with Cardomom, 454 Grams  ",13.99,122,4.6 out of 5 stars,https://www.amazon.ca/Sadaf-Ceylon-Tea-Cardamom-Flavor/dp/B003YDH0BC/ref=sr_1_27?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-27
27,The Persian: Through The Eyes Of My Foes  ,10.48,Golabi,3.8 out of 5 stars,https://www.amazon.ca/Persian-Through-Eyes-My-Foes/dp/0615994989/ref=sr_1_28?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-28
28,"Persian Cat Christmas Ornament, Persian Kitten, Persian Kitty Hanging Ornament  ",,,,https://www.amazon.ca/Persian-Christmas-Ornament-Kitten-Hanging/dp/B01INLMV1S/ref=sr_1_29?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-29
29,"nuLOOM Delena Persian Floral Runner Rug, 2' 8"" x 8', Multi  ",84.64,80,4.4 out of 5 stars,https://www.amazon.ca/nuLOOM-Persian-Floral-Delena-Rug/dp/B01MFFYFNU/ref=sr_1_30?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-30
30,"nuLOOM Isela Vintage Persian Runner Rug, 2' 8"" x 8', Blue  ",114.74,147,4.0 out of 5 stars,https://www.amazon.ca/nuLOOM-Vintage-Persian-Floral-Isela/dp/B01MZDJGEU/ref=sr_1_31?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-31
31,Persians  ,0.00,Golabi,4.3 out of 5 stars,https://www.amazon.ca/Persians/dp/B07R95CBKY/ref=sr_1_32?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-32
32,"YoKii Persian Oriental Area Rug 3x5 Faux Wool Traditional Red Medallion Boho Floral Kitchen Rug Rubber Backed Vintage Tribal Accent Rugs for Bedroom Living Room Entryway Washable (3x5, Dark Red)  ",116.64,4,3.0 out of 5 stars,https://www.amazon.ca/YoKii-Oriental-Traditional-Medallion-Entryway/dp/B0922LBG2J/ref=sr_1_33?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-33
33,"JV Home Persian Collection Vintage | Traditional | Distressed Area Rug for Entyway, Hallway 8' x 10' (240 cm x 300 cm) Grey/Blue/Yellow  ",229.90,39,4.8 out of 5 stars,https://www.amazon.ca/JV-Home-Collection-Traditional-Distressed/dp/B08FYSVNW1/ref=sr_1_34?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-34
34,Persian: A Comprehensive Grammar (Routledge Comprehensive Grammars)  ,109.75,Golabi,5.0 out of 5 stars,https://www.amazon.ca/Persian-Comprehensive-Grammar-Routledge-Grammars-ebook/dp/B07C2BRKJW/ref=sr_1_35?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-35
35,Yuchen Carpet 8'x10' Wine Red Silk Persian Carpet Luxury Vintage Traditional Rugs Living Room  ,,,,https://www.amazon.ca/Yuchen-Carpet-Persian-Vintage-Traditional/dp/B06XPFVKV4/ref=sr_1_36?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-36
36,"nuLOOM RZBD43A Persian Vintage Olivia Area Rug, 4' x 6', Orange  ",113.49,52,4.4 out of 5 stars,https://www.amazon.ca/nuLOOM-Persian-Vintage-Olivia-Orange/dp/B01MR9QKD2/ref=sr_1_37?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-37
37,Hot Sox Womens Persian Cats Crew Socks  ,14.60,20,4.9 out of 5 stars,https://www.amazon.ca/Hot-Sox-Persian-Socks-Womens/dp/B07G8JQVD5/ref=sr_1_38?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-38
